language,license,rightsHolder,bibliographicCitation,datasetID,institutionCode,datasetName,references,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,phylum,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonomicStatus,taxonRemarks
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927174: Mentha requienii Benth. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927174,https://www.gbif.org/species/2927174,https://www.gbif.org/species/2927174,Mentha requienii Benth.,Mentha requienii Benth.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Mentha,requienii,,SPECIES,Benth.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927220: Dracocephalum parviflorum Nutt. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927220,https://www.gbif.org/species/2927220,https://www.gbif.org/species/2927220,Dracocephalum parviflorum Nutt.,Dracocephalum parviflorum Nutt.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,parviflorum,,SPECIES,Nutt.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927222: Dracocephalum moldavica L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927222,https://www.gbif.org/species/2927222,https://www.gbif.org/species/2927222,Dracocephalum moldavica L.,Dracocephalum moldavica L.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,moldavica,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927224: Dracocephalum thymiflorum L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927224,https://www.gbif.org/species/2927224,https://www.gbif.org/species/2927224,Dracocephalum thymiflorum L.,Dracocephalum thymiflorum L.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,thymiflorum,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927230: Stachys byzantina K.Koch in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927230,https://www.gbif.org/species/2927230,https://www.gbif.org/species/2927230,Stachys byzantina K.Koch,Stachys byzantina K.Koch,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Stachys,byzantina,,SPECIES,K.Koch,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927296: Stachys cretica L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927296,https://www.gbif.org/species/2927296,https://www.gbif.org/species/2927296,Stachys cretica L.,Stachys cretica L.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Stachys,cretica,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927303: Lavandula stoechas L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927303,https://www.gbif.org/species/2927303,https://www.gbif.org/species/2927303,Lavandula stoechas L.,Lavandula stoechas L.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,stoechas,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927305: Lavandula angustifolia Mill. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927305,https://www.gbif.org/species/2927305,https://www.gbif.org/species/2927305,Lavandula angustifolia Mill.,Lavandula angustifolia Mill.,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Lavandula,angustifolia,,SPECIES,Mill.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927484: Cuscuta suaveolens Ser. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927484,https://www.gbif.org/species/2927484,https://www.gbif.org/species/2927484,Cuscuta suaveolens Ser.,Cuscuta suaveolens Ser.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,suaveolens,,SPECIES,Ser.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927522: Cuscuta planiflora Ten. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927522,https://www.gbif.org/species/2927522,https://www.gbif.org/species/2927522,Cuscuta planiflora Ten.,Cuscuta planiflora Ten.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,planiflora,,SPECIES,Ten.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927530: Cuscuta epilinum Weihe in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927530,https://www.gbif.org/species/2927530,https://www.gbif.org/species/2927530,Cuscuta epilinum Weihe,Cuscuta epilinum Weihe,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,epilinum,,SPECIES,Weihe,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927684: Navarretia squarrosa (Eschsch.) Hook. & Arn. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927684,https://www.gbif.org/species/2927684,https://www.gbif.org/species/2927684,Navarretia squarrosa (Eschsch.) Hook. & Arn.,Navarretia squarrosa (Eschsch.) Hook. & Arn.,Plantae,Magnoliopsida,Ericales,Polemoniaceae,Navarretia,squarrosa,,SPECIES,Hook. & Arn. (Eschsch.),ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927727: Phlox subulata L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927727,https://www.gbif.org/species/2927727,https://www.gbif.org/species/2927727,Phlox subulata L.,Phlox subulata L.,Plantae,Magnoliopsida,Ericales,Polemoniaceae,Phlox,subulata,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927744: Phlox paniculata L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927744,https://www.gbif.org/species/2927744,https://www.gbif.org/species/2927744,Phlox paniculata L.,Phlox paniculata L.,Plantae,Magnoliopsida,Ericales,Polemoniaceae,Phlox,paniculata,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927783: Phlox maculata L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927783,https://www.gbif.org/species/2927783,https://www.gbif.org/species/2927783,Phlox maculata L.,Phlox maculata L.,Plantae,Magnoliopsida,Ericales,Polemoniaceae,Phlox,maculata,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2927850: Polemonium caeruleum L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2927850,https://www.gbif.org/species/2927850,https://www.gbif.org/species/2927850,Polemonium caeruleum L.,Polemonium caeruleum L.,Plantae,Magnoliopsida,Ericales,Polemoniaceae,Polemonium,caeruleum,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928034: Nemophila maculata Benth. ex Lindl. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928034,https://www.gbif.org/species/2928034,https://www.gbif.org/species/2928034,Nemophila maculata Benth. ex Lindl.,Nemophila maculata Benth. ex Lindl.,Plantae,Magnoliopsida,Boraginales,Hydrophyllaceae,Nemophila,maculata,,SPECIES,Benth. ex Lindl.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928153: Phacelia purshii Buckley in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928153,https://www.gbif.org/species/2928153,https://www.gbif.org/species/2928153,Phacelia purshii Buckley,Phacelia purshii Buckley,Plantae,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,purshii,,SPECIES,Buckley,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928226: Phacelia tanacetifolia Benth. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928226,https://www.gbif.org/species/2928226,https://www.gbif.org/species/2928226,Phacelia tanacetifolia Benth.,Phacelia tanacetifolia Benth.,Plantae,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,tanacetifolia,,SPECIES,Benth.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928238: Phacelia campanularia A.Gray in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928238,https://www.gbif.org/species/2928238,https://www.gbif.org/species/2928238,Phacelia campanularia A.Gray,Phacelia campanularia A.Gray,Plantae,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,campanularia,,SPECIES,A.Gray,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928538: Ipomoea hederacea Jacq. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928538,https://www.gbif.org/species/2928538,https://www.gbif.org/species/2928538,Ipomoea hederacea Jacq.,Ipomoea hederacea Jacq.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,hederacea,,SPECIES,Jacq.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928576: Ipomoea purpurea (L.) Roth in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928576,https://www.gbif.org/species/2928576,https://www.gbif.org/species/2928576,Ipomoea purpurea (L.) Roth,Ipomoea purpurea (L.) Roth,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,purpurea,,SPECIES,Roth (L.),ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928583: Ipomoea leucantha Jacq. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928583,https://www.gbif.org/species/2928583,https://www.gbif.org/species/2928583,Ipomoea leucantha Jacq.,Ipomoea leucantha Jacq.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,leucantha,,SPECIES,Jacq.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928589: Ipomoea tricolor Cav. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928589,https://www.gbif.org/species/2928589,https://www.gbif.org/species/2928589,Ipomoea tricolor Cav.,Ipomoea tricolor Cav.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,tricolor,,SPECIES,Cav.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928613: Ipomoea wrightii A.Gray in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928613,https://www.gbif.org/species/2928613,https://www.gbif.org/species/2928613,Ipomoea wrightii A.Gray,Ipomoea wrightii A.Gray,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,wrightii,,SPECIES,A.Gray,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928624: Ipomoea hederifolia L. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928624,https://www.gbif.org/species/2928624,https://www.gbif.org/species/2928624,Ipomoea hederifolia L.,Ipomoea hederifolia L.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,hederifolia,,SPECIES,L.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928666: Dichondra micrantha Urb. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928666,https://www.gbif.org/species/2928666,https://www.gbif.org/species/2928666,Dichondra micrantha Urb.,Dichondra micrantha Urb.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Dichondra,micrantha,,SPECIES,Urb.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/2928668: Dichondra argentea Willd. in GBIF Secretariat (2017). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/2928668,https://www.gbif.org/species/2928668,https://www.gbif.org/species/2928668,Dichondra argentea Willd.,Dichondra argentea Willd.,Plantae,Magnoliopsida,Solanales,Convolvulaceae,Dichondra,argentea,,SPECIES,Willd.,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
